性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
超值,-41%,644.99,58,100.0,READ [MINT+++] Contax S2 60 Years Model 35mm SLR Film Camera Body From JAPAN,contax s2,Contax,Film Cameras,Used,379.99,USD,FIXED_PRICE,grail:Contax S2;good-cond,JP,kaya6610,99.6,2026-08-06T15:36:14.000Z,,https://www.ebay.com/itm/318687546467?hash=item4a33420c63:g:ayYAAeSwMCBqdKsZ,https://i.ebayimg.com/images/g/ayYAAeSwMCBqdKsZ/s-l225.jpg
超值,-44%,899.99,80,100.0,Meter OK [ NEAR MINT w/Box ] Contax G1 Rangefinder Film Camera From JAPAN,contax g1,Contax,Film Cameras,Used,499.99,USD,"FIXED_PRICE,BEST_OFFER",grail:Contax G1;good-cond,JP,japan_camera_sippo,100.0,2026-08-06T05:41:53.000Z,,https://www.ebay.com/itm/398255422980?hash=item5cb9df7e04:g:f~QAAeSwoi5qdBUl,https://i.ebayimg.com/images/g/f~QAAeSwoi5qdBUl/s-l225.jpg
超值,-30%,999.9,80,100.0,[N MINT- ]Hasselblad 500C/M 500CM Medium Format Film Camera Body Only from JAPAN,hasselblad 500c/m,Hasselblad,Film Cameras,Used,699.0,USD,FIXED_PRICE,grail:500C;good-cond,JP,musubiworks,100.0,2026-08-06T09:02:11.000Z,,https://www.ebay.com/itm/307110518615?hash=item4781369f57:g:XXkAAeSwdbtqdE7E,https://i.ebayimg.com/images/g/XXkAAeSwdbtqdE7E/s-l225.jpg
超值,-39%,294.5,70,96.0,[Near MINT +] Olympus OM-4 35mm SLR Film Camera Body From JAPAN,olympus om-4,Olympus,Film Cameras,Used,179.99,USD,FIXED_PRICE,grail:OM-4;mount:olympus om;good-cond,JP,kaya6610,99.6,2026-08-06T14:47:49.000Z,,https://www.ebay.com/itm/318687365884?hash=item4a333f4afc:g:HZQAAeSwHiJqdJ8S,https://i.ebayimg.com/images/g/HZQAAeSwHiJqdJ8S/s-l225.jpg
超值,-33%,357.55,80,96.0,[Exc+5] Leica Leitz Elmar 5cm 50mm f/3.5 Collapsible L39 Ltm Screw Mount JAPAN,leica elmar 50mm f3.5,Leica,Lenses,Used,239.99,USD,FIXED_PRICE,grail:Elmar;mount:ltm/l39;good-cond,JP,lembodeck,99.3,2026-08-06T07:03:01.000Z,,https://www.ebay.com/itm/307110305555?hash=item4781335f13:g:di4AAeSwYelqdCgf,https://i.ebayimg.com/images/g/di4AAeSwYelqdCgf/s-l225.jpg
抄底,-49%,490.83,80,96.0,"Battery Replaced March 3, 26🎦👀✨Unused✨ Nikon F5 Zippo Pocket Clock From JAPAN",nikon f5,Nikon,Film Cameras,Used,250.79,USD,FIXED_PRICE,grail:Nikon F5,JP,positive_star_camera,99.9,2026-08-05T21:56:59.000Z,,https://www.ebay.com/itm/407123143948?hash=item5eca6e2d0c:g:6nYAAeSwcKNpqtGv,https://i.ebayimg.com/images/g/6nYAAeSwcKNpqtGv/s-l225.jpg
超值,-30%,399.0,49,96.0,[MINT] Nikon Nikkor H.C HC 75mm f/2.8 Lens Bronica S2 S2A EC TL From JAPAN,nikon nikkor h.c,Nikon,Film Cameras,Used,279.0,USD,FIXED_PRICE,grail:Bronica S2;mount:nikon f;good-cond,JP,kawamura-camera,99.7,2026-08-05T23:45:42.000Z,,https://www.ebay.com/itm/117343120329?hash=item1b5231ebc9:g:zM4AAeSw65BqcxGe,https://i.ebayimg.com/images/g/zM4AAeSw65BqcxGe/s-l225.jpg
超值,-31%,547.97,80,96.0,CLA'd 2026 [MINT + Hood] Voigtlander NOKTON 50mm F/1.5 Asph Lens L39 From JAPAN,voigtlander nokton 50mm f1.5,Voigtlander,Lenses,Used,379.99,USD,FIXED_PRICE,grail:NOKTON;mount:ltm/l39;good-cond,JP,shop365tokyo,100.0,2026-08-06T01:05:35.000Z,,https://www.ebay.com/itm/158158804774?hash=item24d2ffd726:g:BjcAAeSwUKRqc98O,https://i.ebayimg.com/images/g/BjcAAeSwUKRqc98O/s-l225.jpg
超值,-33%,633.65,80,96.0,[MINT in BOX] Voigtlander NOKTON 35mm F/1.2 for Fujifilm X mount Lens from JAPAN,voigtlander nokton 35mm f1.2,Voigtlander,Lenses,Used,423.88,USD,FIXED_PRICE,grail:NOKTON;mount:fuji x;good-cond,JP,yasuikem_0,99.8,2026-08-06T03:03:34.000Z,,https://www.ebay.com/itm/358889958207?hash=item538f822b3f:g:1UEAAeSwIX5qc~mA,https://i.ebayimg.com/images/g/1UEAAeSwIX5qc~mA/s-l225.jpg
超值,-29%,771.0,40,96.0,Voigtlander NOKTON Vintage Line 35mm F1.5 VM Black for Leica M w/Box -Near Mint-,voigtlander nokton 35mm f1.5,Voigtlander,Lenses,Used,549.49,USD,FIXED_PRICE,grail:NOKTON;mount:leica m;good-cond,JP,kobuta_camera0220,100.0,2026-08-05T21:59:47.000Z,,https://www.ebay.com/itm/358889043916?hash=item538f7437cc:g:DL4AAeSwo21qKejX,https://i.ebayimg.com/images/g/DL4AAeSwo21qKejX/s-l225.jpg
